comparative	score	content	engagement
0.308	4	Meet Milk: Lovable long snapper Michael Vinson embodies Notre Dame's walk-on spirit  via	0
0.300	6	On 2-3 October we're hosting a Celebration of Wool  ğŸ  , with a line up including crafternoon, launch of the Nationalâ€¦	0
3.000	3	Beautiful	0
0.250	4	Shadix accounts for six touchdowns and 300 yards as Bronson takes shootout win over Springport  via	0
0.158	3	Unboxing KUKU CANDY ğŸ¬ + MATICO  â— + FAST CHECK  ğŸ‘€ +ANIMAL PARRRY ğŸµ  * MERCURIO DISTRIBUCIONES    âœ¨  NOVEDADESâœ¨ via	0
1.000	4	Thank you for  ğŸ’– 	0
0.118	2	  â­  ï¸INFORME WARHAMMER 40k (Trailer)â­ï¸Grey Knights (New) VS Space Wolves Fuerza de choque 2.000pts via	1
-0.250	-3	As bad as things got in January, it is about to getâ€¦	0
0.318	7	Picnics are a great way for friends to catch up as summer approaches. Get out there and enjoy the sunshine with youâ€¦	8
0.167	3	Our latest survey results have been shared by   ğŸ‰  We found almost half of software professionals were apprâ€¦	0
-0.333	-3	Condition critical: COVID deepens Georgia's nursing crisis  via    cc	0
